date,open,high,low,close,volume
2015-01-02 03:00:00,1.21008,1.20634,1.20576,1.20586,1068
2015-01-02 04:00:00,1.20586,1.20609,1.20501,1.2054,4281
2015-01-02 05:00:00,1.2054,1.20566,1.2047,1.20531,4253
2015-01-02 06:00:00,1.20531,1.20587,1.20496,1.20556,4536
2015-01-02 07:00:00,1.20556,1.20591,1.20356,1.20571,11343
2015-01-02 08:00:00,1.20571,1.20707,1.20459,1.20482,15482
2015-01-02 09:00:00,1.20482,1.20616,1.20398,1.2059,15383
2015-01-02 10:00:00,1.2059,1.2059,1.20432,1.20518,8880
2015-01-02 11:00:00,1.20518,1.20592,1.20456,1.20552,8811
2015-01-02 12:00:00,1.20552,1.20558,1.20361,1.20392,8748
2015-01-02 13:00:00,1.20392,1.20453,1.20264,1.20319,10995
2015-01-02 14:00:00,1.20319,1.20345,1.20096,1.20161,12749
2015-01-02 15:00:00,1.20161,1.20332,1.20129,1.20323,20801
2015-01-02 16:00:00,1.20323,1.20328,1.20082,1.20147,13580
2015-01-02 17:00:00,1.20147,1.20168,1.20044,1.20106,5480
2015-01-02 18:00:00,1.20106,1.20165,1.2009,1.20128,3265
2015-01-02 19:00:00,1.20128,1.20128,1.2005,1.20067,3387
2015-01-02 20:00:00,1.20067,1.20098,1.20024,1.20045,4936
2015-01-02 21:00:00,1.20045,1.20071,1.20019,1.20037,1658
2015-01-04 19:00:00,1.20037,1.20083,1.20041,1.2006,101
2015-01-04 20:00:00,1.2006,1.201,1.2003,1.20033,364
2015-01-04 21:00:00,1.20033,1.20097,1.19524,1.19564,1738
2015-01-04 22:00:00,1.19564,1.1957,1.18746,1.19474,9910
2015-01-04 23:00:00,1.19474,1.19516,1.19317,1.19479,13127
2015-01-05 00:00:00,1.19479,1.19772,1.19479,1.19644,13312
2015-01-05 01:00:00,1.19644,1.19743,1.19523,1.19557,10581
2015-01-05 02:00:00,1.19557,1.19664,1.19557,1.1957,7002
2015-01-05 03:00:00,1.1957,1.19577,1.19451,1.19451,6353
2015-01-05 04:00:00,1.19451,1.19463,1.19365,1.19418,6061
2015-01-05 05:00:00,1.19418,1.19458,1.19268,1.19361,6966
2015-01-05 06:00:00,1.19361,1.19486,1.19319,1.19482,7719
2015-01-05 07:00:00,1.19482,1.19618,1.19414,1.19558,12517
2015-01-05 08:00:00,1.19558,1.19773,1.19524,1.19562,17441
2015-01-05 09:00:00,1.19562,1.19616,1.19439,1.19553,13679
2015-01-05 10:00:00,1.19553,1.19581,1.19152,1.19214,16502
2015-01-05 11:00:00,1.19214,1.19261,1.19009,1.19062,13168
2015-01-05 12:00:00,1.19062,1.19204,1.1888,1.19007,15647
2015-01-05 13:00:00,1.19007,1.19295,1.18936,1.19138,17272
2015-01-05 14:00:00,1.19138,1.19365,1.19096,1.19349,18207
2015-01-05 15:00:00,1.19349,1.19425,1.19178,1.19375,17354
2015-01-05 16:00:00,1.19375,1.19406,1.19162,1.19187,10861
2015-01-05 17:00:00,1.19187,1.19296,1.19132,1.19241,6045
2015-01-05 18:00:00,1.19241,1.19355,1.19156,1.19355,5586
2015-01-05 19:00:00,1.19355,1.1941,1.19338,1.19397,3370
2015-01-05 20:00:00,1.19397,1.19505,1.19375,1.19376,4285
2015-01-05 21:00:00,1.19376,1.194,1.19335,1.19346,2775
2015-01-05 22:00:00,1.19346,1.1937,1.1928,1.19335,2406
2015-01-05 23:00:00,1.19335,1.19418,1.19323,1.19382,3096
2015-01-06 00:00:00,1.19382,1.19442,1.1935,1.19441,4561
2015-01-06 01:00:00,1.19441,1.19472,1.19371,1.19419,5307
2015-01-06 02:00:00,1.19419,1.19557,1.19418,1.19469,4768
2015-01-06 03:00:00,1.19469,1.19506,1.19414,1.19452,4161
2015-01-06 04:00:00,1.19452,1.19515,1.19435,1.19497,3947
2015-01-06 05:00:00,1.19497,1.19593,1.19475,1.19581,5633
2015-01-06 06:00:00,1.19581,1.19696,1.19539,1.19608,7292
2015-01-06 07:00:00,1.19608,1.19633,1.19424,1.19432,10076
2015-01-06 08:00:00,1.19432,1.19538,1.19228,1.19458,15998
2015-01-06 09:00:00,1.19458,1.19473,1.19059,1.19089,17112
2015-01-06 10:00:00,1.19089,1.19154,1.18963,1.18989,13107
2015-01-06 11:00:00,1.18989,1.19204,1.18882,1.18923,14658
2015-01-06 12:00:00,1.18923,1.19119,1.1885,1.19078,13306
2015-01-06 13:00:00,1.19078,1.19173,1.18964,1.19085,16330
2015-01-06 14:00:00,1.19085,1.19101,1.18882,1.19061,15734
2015-01-06 15:00:00,1.19061,1.19345,1.19061,1.19199,23483
2015-01-06 16:00:00,1.19199,1.19411,1.19171,1.1937,19751
2015-01-06 17:00:00,1.1937,1.19596,1.19223,1.19232,17355
2015-01-06 18:00:00,1.19232,1.19346,1.19232,1.19341,11153
2015-01-06 19:00:00,1.19341,1.19372,1.19126,1.19139,6115
2015-01-06 20:00:00,1.19139,1.19158,1.18896,1.18993,10087
2015-01-06 21:00:00,1.18993,1.19002,1.18883,1.18927,3881
2015-01-06 22:00:00,1.18927,1.18951,1.18443,1.18746,7963
2015-01-06 23:00:00,1.18746,1.18803,1.18705,1.18731,5440
2015-01-07 00:00:00,1.18731,1.18824,1.18642,1.18706,6625
2015-01-07 01:00:00,1.18706,1.18814,1.18688,1.18777,5853
2015-01-07 02:00:00,1.18777,1.188,1.18702,1.18709,4555
2015-01-07 03:00:00,1.18709,1.1879,1.18675,1.18769,5457
2015-01-07 04:00:00,1.18769,1.18787,1.18723,1.18764,4791
2015-01-07 05:00:00,1.18764,1.18812,1.18748,1.18792,4543
2015-01-07 06:00:00,1.18792,1.1881,1.18556,1.18675,9600
2015-01-07 07:00:00,1.18675,1.18902,1.18638,1.18881,16724
2015-01-07 08:00:00,1.18881,1.18974,1.18606,1.18692,18662
2015-01-07 09:00:00,1.18692,1.18804,1.18528,1.18544,16760
2015-01-07 10:00:00,1.18544,1.1877,1.18424,1.18511,26964
2015-01-07 11:00:00,1.18511,1.18557,1.18195,1.18215,19540
2015-01-07 12:00:00,1.18215,1.18462,1.18206,1.18371,16286
2015-01-07 13:00:00,1.18371,1.18398,1.18199,1.18309,21609
2015-01-07 14:00:00,1.18309,1.18318,1.18091,1.182,19141
2015-01-07 15:00:00,1.182,1.18321,1.18028,1.1803,17580
2015-01-07 16:00:00,1.1803,1.18285,1.1803,1.18212,17133
2015-01-07 17:00:00,1.18212,1.18359,1.18183,1.18301,7802
2015-01-07 18:00:00,1.18301,1.18379,1.18266,1.18361,7022
2015-01-07 19:00:00,1.18361,1.18598,1.18093,1.18512,24114
2015-01-07 20:00:00,1.18512,1.18514,1.18321,1.18339,7419
2015-01-07 21:00:00,1.18339,1.18425,1.1834,1.18421,3300
2015-01-07 22:00:00,1.18421,1.18427,1.18344,1.18346,1853
2015-01-07 23:00:00,1.18346,1.1838,1.18325,1.18344,3342
2015-01-08 00:00:00,1.18344,1.18484,1.18327,1.18389,6193
2015-01-08 01:00:00,1.18389,1.18415,1.18262,1.18266,6088
2015-01-08 02:00:00,1.18266,1.1828,1.18197,1.18228,4671
2015-01-08 03:00:00,1.18228,1.18321,1.1818,1.18278,5652
2015-01-08 04:00:00,1.18278,1.18301,1.18215,1.18235,3248
2015-01-08 05:00:00,1.18235,1.18276,1.18178,1.18221,4838
2015-01-08 06:00:00,1.18221,1.18249,1.18187,1.18229,4539
2015-01-08 07:00:00,1.18229,1.18234,1.18045,1.1821,12822
2015-01-08 08:00:00,1.1821,1.18236,1.17927,1.17949,14638
2015-01-08 09:00:00,1.17949,1.18087,1.1781,1.17826,14318
2015-01-08 10:00:00,1.17826,1.17872,1.17634,1.17697,16867
2015-01-08 11:00:00,1.17697,1.17759,1.17644,1.1774,10889
2015-01-08 12:00:00,1.1774,1.17802,1.1755,1.17769,15050
2015-01-08 13:00:00,1.17769,1.17897,1.17625,1.17881,16112
2015-01-08 14:00:00,1.17881,1.17998,1.17804,1.17988,14643
2015-01-08 15:00:00,1.17988,1.17993,1.17728,1.1793,22510
2015-01-08 16:00:00,1.1793,1.18154,1.17918,1.18106,16231
2015-01-08 17:00:00,1.18106,1.18201,1.18039,1.18176,8605
2015-01-08 18:00:00,1.18176,1.18179,1.17969,1.18005,5165
2015-01-08 19:00:00,1.18005,1.18008,1.1781,1.1785,6852
2015-01-08 20:00:00,1.1785,1.17923,1.17842,1.1789,3841
2015-01-08 21:00:00,1.1789,1.17974,1.1789,1.17957,2926
2015-01-08 22:00:00,1.17957,1.17971,1.17881,1.17917,2460
2015-01-08 23:00:00,1.17917,1.17952,1.17879,1.1793,5052
2015-01-09 00:00:00,1.1793,1.17978,1.1791,1.17967,4491
2015-01-09 01:00:00,1.17967,1.1812,1.17959,1.18019,8517
2015-01-09 02:00:00,1.18019,1.18098,1.18005,1.18075,6139
2015-01-09 03:00:00,1.18075,1.1809,1.18019,1.18041,4706
2015-01-09 04:00:00,1.18041,1.18137,1.18041,1.18067,5589
2015-01-09 05:00:00,1.18067,1.18159,1.18067,1.18112,5940
2015-01-09 06:00:00,1.18112,1.18125,1.17935,1.17935,5787
2015-01-09 07:00:00,1.17935,1.18004,1.17858,1.17941,9921
2015-01-09 08:00:00,1.17941,1.18091,1.1793,1.18062,12366
2015-01-09 09:00:00,1.18062,1.18211,1.17986,1.18166,14631
2015-01-09 10:00:00,1.18166,1.18206,1.18068,1.1814,11504
2015-01-09 11:00:00,1.1814,1.18206,1.18089,1.18104,8808
2015-01-09 12:00:00,1.18104,1.18188,1.18098,1.18179,9144
2015-01-09 13:00:00,1.18179,1.18334,1.17633,1.17886,42447
2015-01-09 14:00:00,1.17886,1.17977,1.17735,1.17843,28616
